Iteration,Timestep,Date,Variable,Jurisdiction,AgeMin,AgeMax,Sex,Value
1,106,13/05/2020,Cases,Canada - British Columbia,,,,23
1,107,14/05/2020,Cases,Canada - British Columbia,,,,8
1,108,15/05/2020,Cases,Canada - British Columbia,,,,18
1,109,16/05/2020,Cases,Canada - British Columbia,,,,11
1,110,17/05/2020,Cases,Canada - British Columbia,,,,8
1,111,18/05/2020,Cases,Canada - British Columbia,,,,9
1,112,19/05/2020,Cases,Canada - British Columbia,,,,12
1,113,20/05/2020,Cases,Canada - British Columbia,,,,13
1,114,21/05/2020,Cases,Canada - British Columbia,,,,23
1,115,22/05/2020,Cases,Canada - British Columbia,,,,8
1,116,23/05/2020,Cases,Canada - British Columbia,,,,8
1,117,24/05/2020,Cases,Canada - British Columbia,,,,8
1,118,25/05/2020,Cases,Canada - British Columbia,,,,7
1,119,26/05/2020,Cases,Canada - British Columbia,,,,5
1,120,27/05/2020,Cases,Canada - British Columbia,,,,9
1,121,28/05/2020,Cases,Canada - British Columbia,,,,9
1,122,29/05/2020,Cases,Canada - British Columbia,,,,12
1,123,30/05/2020,Cases,Canada - British Columbia,,,,13
1,124,31/05/2020,Cases,Canada - British Columbia,,,,9
1,125,01/06/2020,Cases,Canada - British Columbia,,,,13
1,126,02/06/2020,Cases,Canada - British Columbia,,,,12
1,127,03/06/2020,Cases,Canada - British Columbia,,,,3
1,128,04/06/2020,Cases,Canada - British Columbia,,,,9
1,129,05/06/2020,Cases,Canada - British Columbia,,,,5
1,130,06/06/2020,Cases,Canada - British Columbia,,,,10
1,131,07/06/2020,Cases,Canada - British Columbia,,,,8
1,132,08/06/2020,Cases,Canada - British Columbia,,,,6
1,133,09/06/2020,Cases,Canada - British Columbia,,,,15
1,134,10/06/2020,Cases,Canada - British Columbia,,,,15
1,135,11/06/2020,Cases,Canada - British Columbia,,,,9
1,136,12/06/2020,Cases,Canada - British Columbia,,,,16
1,137,13/06/2020,Cases,Canada - British Columbia,,,,14
1,138,14/06/2020,Cases,Canada - British Columbia,,,,6
1,139,15/06/2020,Cases,Canada - British Columbia,,,,8
1,140,16/06/2020,Cases,Canada - British Columbia,,,,21
1,141,17/06/2020,Cases,Canada - British Columbia,,,,5
1,142,18/06/2020,Cases,Canada - British Columbia,,,,6
1,143,19/06/2020,Cases,Canada - British Columbia,,,,7
1,144,20/06/2020,Cases,Canada - British Columbia,,,,8
1,145,21/06/2020,Cases,Canada - British Columbia,,,,18
1,146,22/06/2020,Cases,Canada - British Columbia,,,,8
1,147,23/06/2020,Cases,Canada - British Columbia,,,,19
1,148,24/06/2020,Cases,Canada - British Columbia,,,,18
1,149,25/06/2020,Cases,Canada - British Columbia,,,,7
1,150,26/06/2020,Cases,Canada - British Columbia,,,,9
1,151,27/06/2020,Cases,Canada - British Columbia,,,,11
1,152,28/06/2020,Cases,Canada - British Columbia,,,,8
1,153,29/06/2020,Cases,Canada - British Columbia,,,,8
1,154,30/06/2020,Cases,Canada - British Columbia,,,,14
1,155,01/07/2020,Cases,Canada - British Columbia,,,,10
1,156,02/07/2020,Cases,Canada - British Columbia,,,,8
1,157,03/07/2020,Cases,Canada - British Columbia,,,,13
1,158,04/07/2020,Cases,Canada - British Columbia,,,,13
1,159,05/07/2020,Cases,Canada - British Columbia,,,,6
1,160,06/07/2020,Cases,Canada - British Columbia,,,,11
1,161,07/07/2020,Cases,Canada - British Columbia,,,,17
1,162,08/07/2020,Cases,Canada - British Columbia,,,,19
1,163,09/07/2020,Cases,Canada - British Columbia,,,,20
1,164,10/07/2020,Cases,Canada - British Columbia,,,,27
1,165,11/07/2020,Cases,Canada - British Columbia,,,,22
1,166,12/07/2020,Cases,Canada - British Columbia,,,,18
1,167,13/07/2020,Cases,Canada - British Columbia,,,,12
1,168,14/07/2020,Cases,Canada - British Columbia,,,,22
1,169,15/07/2020,Cases,Canada - British Columbia,,,,29
1,170,16/07/2020,Cases,Canada - British Columbia,,,,25
1,171,17/07/2020,Cases,Canada - British Columbia,,,,39
1,172,18/07/2020,Cases,Canada - British Columbia,,,,19
1,173,19/07/2020,Cases,Canada - British Columbia,,,,38
1,174,20/07/2020,Cases,Canada - British Columbia,,,,23
1,175,21/07/2020,Cases,Canada - British Columbia,,,,32
1,176,22/07/2020,Cases,Canada - British Columbia,,,,37
1,177,23/07/2020,Cases,Canada - British Columbia,,,,28
1,178,24/07/2020,Cases,Canada - British Columbia,,,,28
1,179,25/07/2020,Cases,Canada - British Columbia,,,,21
1,180,26/07/2020,Cases,Canada - British Columbia,,,,23
1,181,27/07/2020,Cases,Canada - British Columbia,,,,18
1,182,28/07/2020,Cases,Canada - British Columbia,,,,53
1,183,29/07/2020,Cases,Canada - British Columbia,,,,21
1,184,30/07/2020,Cases,Canada - British Columbia,,,,44
1,185,31/07/2020,Cases,Canada - British Columbia,,,,45
1,186,01/08/2020,Cases,Canada - British Columbia,,,,47
1,187,02/08/2020,Cases,Canada - British Columbia,,,,41
1,188,03/08/2020,Cases,Canada - British Columbia,,,,34
1,189,04/08/2020,Cases,Canada - British Columbia,,,,35
1,190,05/08/2020,Cases,Canada - British Columbia,,,,38
1,191,06/08/2020,Cases,Canada - British Columbia,,,,55
1,192,07/08/2020,Cases,Canada - British Columbia,,,,41
1,193,08/08/2020,Cases,Canada - British Columbia,,,,44
1,194,09/08/2020,Cases,Canada - British Columbia,,,,39
1,195,10/08/2020,Cases,Canada - British Columbia,,,,64
1,196,11/08/2020,Cases,Canada - British Columbia,,,,76
